,FirstObjectDistance_X,FirstObjectDistance_Y,SecondObjectDistance_X,SecondObjectDistance_Y,ThirdObjectDistance_X,ThirdObjectDistance_Y,FourthObjectDistance_X,FourthObjectDistance_Y,VehicleSpeed,FirstObjectSpeed_X,FirstObjectSpeed_Y,SecondObjectSpeed_X,SecondObjectSpeed_Y,ThirdObjectSpeed_X,ThirdObjectSpeed_Y,FourthObjectSpeed_X,FourthObjectSpeed_Y,YawRate,Timestamp
173,8070,1465,10037,-1437,0,0,0,0,301,-295,1,-290,2,0,0,0,0,0,50.03646027
174,8054,1463,10016,-1443,0,0,0,0,337,-333,-45,-349,-49,0,0,0,0,0.002746582031,50.1322483
175,8040,1467,9985,-1440,0,0,0,0,367,-370,0,-370,0,0,0,0,0,0,50.22880436
176,8029,1462,9971,-1449,13331,-1140,0,0,403,-383,-45,-406,-60,-398,-69,0,0,0.002746582031,50.32491141
177,7997,1458,9942,-1455,13304,-1166,0,0,437,-428,-44,-442,-59,-445,-85,0,0,0.002746582031,50.42124446
178,7983,1456,9915,-1447,13290,-1179,0,0,468,-449,-44,-470,-53,-455,-88,0,0,0.002746582031,50.51743698
179,7959,1456,9883,-1450,13258,-1181,0,0,497,-477,-43,-502,-53,-498,-80,0,0,0.002746582031,50.61348868
180,7938,1450,9866,-1451,13243,-1182,0,0,522,-495,-44,-514,-53,-516,-77,0,0,0.002746582031,50.70804426
181,7903,1446,9820,-1460,13209,-1177,0,0,539,-528,-43,-534,-65,-541,-72,0,0,0.002746582031,50.80327589
182,7887,1445,9799,-1471,13191,-1172,0,0,559,-544,-66,-521,-101,-567,-105,0,0,0.004150390625,50.90060668
183,7848,1438,9752,-1474,13152,-1183,0,0,577,-572,-66,-565,-85,-585,-109,0,0,0.004150390625,50.99495024
184,7828,1435,9722,-1493,13133,-1189,0,0,595,-585,-66,-599,-93,-597,-110,0,0,0.004150390625,51.08970884
185,7799,1430,9684,-1509,13104,-1199,0,0,612,-602,-66,-623,-96,-615,-111,0,0,0.004150390625,51.18447743
186,7766,1424,9642,-1517,13068,-1207,0,0,634,-617,-65,-650,-94,-652,-107,0,0,0.004150390625,51.28050512
187,7734,1420,9607,-1533,13042,-1212,0,0,655,-636,-65,-658,-102,-663,-107,0,0,0.004150390625,51.37686184
188,7701,1418,9569,-1536,13006,-1218,0,0,679,-661,-42,-697,-60,-663,-75,0,0,0.002746582031,51.47433552
189,7681,1417,9543,-1535,12984,-1216,0,0,708,-680,0,-698,-7,-687,1,0,0,0,51.57387018
190,7640,1420,9494,-1535,12907,-1203,0,0,738,-726,0,-726,-10,-732,1,0,0,0,51.67407089
191,7615,1416,9464,-1514,12855,-1197,0,0,766,-739,-43,-756,-47,-758,-71,0,0,0.002746582031,51.77132238
192,7566,1412,9412,-1509,12779,-1192,0,0,783,-784,-1,-781,7,-775,-3,0,0,0,51.86846386
193,7541,1411,9384,-1516,12732,-1196,0,0,807,-796,-1,-802,3,-790,-5,0,0,0,51.9651993
194,7490,1409,9326,-1493,12678,-1200,0,0,829,-826,-1,-826,13,-807,-3,0,0,0,52.06231378
195,7472,1409,9295,-1459,12661,-1211,0,0,847,-835,-1,-838,29,-840,1,0,0,0,52.15755811
196,7456,1414,9234,-1440,12585,-1198,0,0,865,-828,-41,-876,-21,-879,-64,0,0,0.002746582031,52.25319347
197,7479,1431,9197,-1425,12533,-1193,0,0,879,-809,3,-867,25,-873,2,0,0,0,52.34996892
198,7477,1441,9144,-1435,12463,-1197,0,0,889,-787,5,-878,9,-892,-1,0,0,0,52.44636102
199,7505,1452,9109,-1416,0,0,0,0,902,-739,6,-892,18,0,0,0,0,0,52.54290532
200,7521,1462,9070,-1401,0,0,0,0,913,-697,7,-899,19,0,0,0,0,0,52.63953062
201,7524,1477,9015,-1388,0,0,0,0,923,-659,8,-915,20,0,0,0,0,0,52.73634993
202,7532,1487,8959,-1379,0,0,0,0,928,-621,8,-931,12,0,0,0,0,0,52.83208719
203,7521,1496,8923,-1373,0,0,0,0,934,-592,9,-921,16,0,0,0,0,0,52.9269744
204,7520,1501,8878,-1369,0,0,0,0,938,-571,9,-936,9,0,0,0,0,0,53.02234663
205,7499,1507,8818,-1385,12214,-1205,0,0,944,-549,7,-935,-3,-930,21,0,0,0,53.12096104
206,7495,1513,8786,-1402,12183,-1205,0,0,950,-532,8,-943,-10,-932,16,0,0,0,53.22084653
207,7470,1520,8723,-1422,0,0,0,0,957,-517,7,-948,-15,0,0,0,0,0,53.31756583
208,7460,1525,8692,-1436,0,0,0,0,968,-512,7,-960,-17,0,0,0,0,0,53.41192101
209,7432,1527,8620,-1414,9747,1447,0,0,978,-497,-56,-991,-68,-966,-69,0,0,0.004150390625,53.50771477
210,7415,1533,8581,-1405,9706,1445,0,0,990,-502,-53,-983,-69,-979,-71,0,0,0.004150390625,53.60049625
211,7394,1536,8541,-1387,9661,1444,0,0,1002,-511,-32,-996,-33,-990,-43,0,0,0.002746582031,53.69602087
212,7363,1538,8484,-1383,9601,1442,0,0,1012,-517,-32,-1009,-33,-1000,-45,0,0,0.002746582031,53.78897435
213,7336,1544,8443,-1393,9555,1441,0,0,1015,-524,-30,-1021,-38,-1003,-44,0,0,0.002746582031,53.87910771
214,7107,1531,8384,-1392,9499,1441,8755,1513,1018,-900,-8,-995,-3,-1012,5,-1027,92,0,53.97728145
215,7027,1502,8348,-1432,9459,1452,8724,1508,1021,-884,-69,-1026,-90,-1007,-63,-1012,-5,0.004150390625,54.07488816
216,6976,1500,8281,-1453,9376,1454,8667,1508,1024,-883,-7,-1020,-20,-1024,17,-1017,33,0,54.17462798
217,6952,1499,8243,-1502,9331,1443,8635,1509,1032,-868,-44,-1038,-88,-1020,-44,-1019,-21,0.002746582031,54.27285872
218,6898,1499,8173,-1490,9261,1438,8569,1512,1039,-863,-41,-1043,-63,-1034,-51,-1025,-30,0.002746582031,54.37240953
219,6874,1500,8138,-1502,9222,1433,8537,1509,1045,-858,-40,-1052,-63,-1024,-48,-1040,-36,0.002746582031,54.47133978
220,6824,1504,8061,-1527,9147,1433,8470,1510,1047,-849,-36,-1061,-74,-1042,-50,-1038,-39,0.002746582031,54.5701902
221,6802,1508,8025,-1507,9107,1439,8438,1507,1051,-849,3,-1051,-10,-1050,8,-1054,4,0,54.6675895
222,6755,1514,7948,-1529,9032,1435,8369,1506,1056,-838,3,-1054,-26,-1059,2,-1047,2,0,54.76716498
223,6736,1517,7909,-1532,8993,1437,8336,1504,1058,-822,-32,-1065,-65,-1048,-43,-1044,-45,0.002746582031,54.86491231
224,6688,1525,7837,-1523,8919,1436,8265,1502,1060,-816,5,-1066,-1,-1062,4,-1065,0,0,54.96269664
225,6665,1529,7797,-1530,8881,1436,8232,1506,1063,-809,6,-1087,-1,-1068,2,-1061,1,0,55.05993392
226,6615,1536,7721,-1533,8806,1437,8165,1514,1066,-801,7,-1074,-16,-1066,7,-1067,3,0,55.15755023
227,6589,1541,7681,-1543,8770,1433,8133,1524,1069,-800,9,-1078,-20,-1067,1,-1073,5,0,55.25329039
228,6534,1547,7609,-1526,8702,1429,8062,1528,1071,-796,9,-1069,-4,-1066,-5,-1071,4,0,55.34776244
229,6506,1549,7567,-1551,8669,1430,8026,1525,1073,-797,9,-1074,-22,-1074,-6,-1072,2,0,55.44176047
230,6462,1553,7512,-1540,8617,1425,7969,1521,1076,-798,9,-1078,-5,-1072,-9,-1076,0,0,55.53716579
231,6421,1557,7460,-1525,8571,1418,7919,1531,1080,-802,10,-1079,7,-1075,-15,-1074,3,0,55.63280714
232,6375,1561,7402,-1525,8520,1411,7865,1525,1083,-809,11,-1086,4,-1073,-17,-1076,1,0,55.73224582
233,6329,1564,7346,-1527,8464,1412,7811,1527,1084,-812,10,-1095,6,-1081,-11,-1090,0,0,55.82760615
234,6296,1566,7306,-1541,8425,1417,7774,1528,1086,-811,-25,-1084,-53,-1078,-49,-1072,-41,0.002746582031,55.92456061
235,6236,1569,7234,-1547,8348,1428,7697,1585,1089,-825,10,-1072,-13,-1091,13,-1089,16,0,56.02607147
236,6202,1576,7194,-1565,8312,1428,7651,1643,1090,-833,11,-1091,-15,-1091,10,-1091,28,0,56.12469008
237,6141,1580,7123,-1574,8236,1431,7577,1666,1092,-834,9,-1085,-15,-1097,8,-1099,21,0,56.21725916
238,6108,1585,7081,-1561,8197,1430,7537,1681,1093,-838,9,-1092,-6,-1095,8,-1101,20,0,56.30844212
239,6046,1590,7004,-1574,8122,1433,7462,1694,1093,-838,9,-1096,-10,-1095,8,-1098,15,0,56.40174526
240,6008,1599,6965,-1581,8085,1429,7423,1702,1093,-847,12,-1095,-12,-1096,2,-1098,14,0,56.49473612
241,5955,1603,6905,-1568,8029,1435,7366,1707,1092,-854,13,-1091,-6,-1095,7,-1088,12,0,56.58868543
242,5906,1609,6850,-1549,7974,1437,7318,1711,1091,-860,14,-1089,6,-1091,9,-1088,9,0,56.68156263
243,5853,1614,6792,-1539,7919,1432,7266,1715,1090,-868,14,-1087,6,-1092,1,-1099,5,0,56.77664705
244,5802,1616,6732,-1538,7864,1431,7212,1717,1090,-872,12,-1099,9,-1092,-2,-1106,2,0,56.87228653
245,5764,1622,6693,-1539,7827,1434,7175,1719,1088,-887,31,-1085,18,-1093,23,-1101,22,-0.001342773438,56.96704692
